,d__Eukaryota;p__Cercozoa;c__Filosa-Chlorarachnea;o__Chlorarachniophyceae;f__Chlorarachniaceae,d__Eukaryota;p__Chlorophyta;c__Chlorodendrophyceae;o__Chlorodendrales;f__Chlorodendraceae,d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae,d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Dolichomastigales;f__Dolichomastigaceae,d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Bathycoccaceae,d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae,d__Eukaryota;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales;f__Nephroselmidaceae,d__Eukaryota;p__Chlorophyta;c__Pedinophyceae;o__Pedinomonadales;f__Pedinomonadaceae,d__Eukaryota;p__Chlorophyta;c__Prasinococcales;o__Prasinococcales_XX;f__Prasinococcales_XXXX,d__Eukaryota;p__Chlorophyta;c__Prasinococcales;o__Prasinococcales_XX;f__Prasinophyceae,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-7;f__Prasino-clade-7C,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-7;f__Prasino-clade-7_X-A,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-7;f__Prasino-clade-7_X-B,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-9;f__Prasino-clade-9_XX,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales-clade-6;f__Pycnococcaceae,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pyramimonadales;f__Pterospermataceae,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pyramimonadales;f__Pyramimonadaceae,d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae_XX;f__Trebouxiophyceae_XXXX,d__Eukaryota;p__Cryptophyta;c__Cryptophyceae;o__Pyrenomonadales;f__Chroomonadaceae,d__Eukaryota;p__Cryptophyta;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadaceae,d__Eukaryota;p__Cryptophyta;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadales_XX,d__Eukaryota;p__Dinophyta;c__Dinophyceae;o__Brachidiniales;f__Brachidiniaceae,d__Eukaryota;p__Discoba;c__Euglenozoa;o__Eutreptiales;f__Eutreptiaceae,d__Eukaryota;p__Haptophyta;c__Pavlovophyceae;o__Pavlovales;f__Pavlovaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Coccolithales;f__Calcidiscaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Coccolithales;f__Coccolithaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Coccolithales;f__Hymenomonadaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Isochrysidales;f__Isochrysidaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Isochrysidales;f__Noelaerhabdaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Phaeocystales;f__Phaeocystaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiales;f__Chrysochromulinaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiales;f__Prymnesiaceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophyceae_XX;f__Braarudosphaeraceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophyceae_XX;f__Prymnesiophyceae_XXXX,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophyceae_XX;f__Prymnesiophycidae_XXXX,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophycidae_XX;f__Prymnesiophycidae_XXXX,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Syracosphaerales;f__Syracosphaeraceae,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Zygodiscales;f__Helicosphaeraceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariales;f__Bacillariaceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariophyceae_X;f__Bacillariophyceae_XXX,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariophyta_XX;f__Bacillariophyta_XXXX,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Chaetocerotales;f__Chaetocerotaceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Corethrales;f__Corethraceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Coscinodiscales;f__Coscinodiscaceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Coscinodiscophyceae_X;f__Coscinodiscophyceae_XXX,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Cymatosirales;f__Cymatosiraceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Cymbellales;f__Cymbellaceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Rhizosoleniales;f__Rhizosoleniaceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Thalassionematales;f__Thalassionemataceae,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Thalassiosirales;f__Thalassiosiraceae,d__Eukaryota;p__Ochrophyta;c__Bolidophyceae;o__Bolidomonadales;f__Bolidomonadaceae,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae-Synurophyceae;o__Chromulinales;f__Chromulinaceae,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae-Synurophyceae;o__Chrysophyceae-Synurophyceae_XX;f__Chrysophyceae-Synurophyceae_XXXX,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales;f__Chrysosphaeraceae,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Chrysophyceae_XX;f__Chrysophyceae_XXXX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Dictyochophyceae_XX;f__Dictyochophyceae_XXXX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Florenciellales;f__Florenciellales_XX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellaceae,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellales_XX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Rhizochromulinales;f__Rhizochromulinaceae,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Pelagomonadales;f__Pelagomonadaceae,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Pelagophyceae_XX;f__Pelagophyceae_XXXX,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Sarcinochrysidales;f__Sarcinochrysidaceae,d__Eukaryota;p__Ochrophyta;c__Raphidophyceae;o__Chattonellales;f__Chattonellaceae,d__Eukaryota;p__Rappemonad;c__Rappemonad_X;o__Rappemonad_XXX;f__Rappemonad_XXXXX,d__Eukaryota;p__Stramenopiles_X;c__Stramenopiles_XX;o__Stramenopiles_XXXX;f__Stramenopiles_XXXXXX,d__Eukaryota;p__Streptophyta;c__Embryophyceae;o__Gymnodiniales;f__Kareniaceae,Chla.m
SPOT_5m_PA_2001.01.01,1.7431129091901827,-3.6906090943640564,-3.6906090943640564,2.819649246159093,3.8115773922388683,5.337129681610852,-3.6906090943640564,-0.5995666410057403,-3.6906090943640564,0.8311794826849841,-3.6906090943640564,-0.2566218898789101,-0.3233132643775827,0.7980272753680833,0.1380323021250387,1.5875055648664604,-3.6906090943640564,3.0593220994245134,-0.8573957503078402,-3.6906090943640564,-3.6906090943640564,4.106682179183416,-1.2057024445760565,-0.5551148784349067,-3.6906090943640564,-0.5551148784349067,-3.6906090943640564,1.8584669905311637,-3.6906090943640564,2.83001203319464,4.466761346822718,4.72366504304434,2.9801572264818175,4.9885328640381985,2.1353910130163936,-0.47173326949585537,2.170177129101809,-2.5919968056959473,1.1456728125874216,-1.2057024445760565,1.680028933763606,-3.6906090943640564,-1.2927138215656857,-3.6906090943640564,-3.6906090943640564,-3.6906090943640564,3.751297633687568,1.3782951078561752,-3.6906090943640564,-1.4933845170278364,1.6612490391120103,1.5925946343739321,-0.5125552640161111,2.2857418149338775,0.04706052391931159,-0.3584045841888521,2.2703962452592172,4.1680315612567345,3.1979633652013066,0.09358053955420509,1.680028933763606,-3.6906090943640564,4.7216679271026205,-3.6906090943640564,3.6469786491745393,0.20121120374657053,0.7980272753680833,-3.6906090943640564,-2.3043147332441656,0.61289203
SPOT_5m_PA_2001.02.01,0.5782464309769448,-2.9481140936392176,-2.9481140936392176,0.7895555246441512,4.233477850972648,4.52722514292752,-1.3386761812051162,-2.9481140936392176,-2.9481140936392176,1.7058462565183063,-2.9481140936392176,1.0031296249422104,0.5483934678272631,-0.2400638925370071,0.3840904165359875,0.8130860220543461,-2.9481140936392176,-0.6455290006451708,-1.1563546244111622,-2.9481140936392176,-2.9481140936392176,2.976141703775315,-2.9481140936392176,-2.9481140936392176,-1.3386761812051162,-0.38316473617768043,-2.9481140936392176,1.3285520253768386,-0.8686725519593805,4.043062793481992,4.030099648991482,4.917841320294285,2.3748958854991917,2.7183125944732156,1.647005756495373,0.14292835971909934,1.2713936115368902,-2.9481140936392176,-2.9481140936392176,1.0221778199129048,1.8640702617332003,-2.9481140936392176,0.8805273028498783,-2.9481140936392176,-2.9481140936392176,-2.9481140936392176,3.369050593108067,0.5782464309769448,0.74076536047472,0.8805273028498783,1.724714740822689,0.9639089117889297,-0.17552537139943514,1.129423350266503,1.408594733050375,-2.9481140936392176,-0.2400638925370071,2.889616353526723,3.5516729470166375,-2.9481140936392176,0.7154475524904296,-2.9481140936392176,4.6145671530826675,2.3451907310852755,3.1566791387757682,-2.9481140936392176,-0.2400638925370071,-0.38316473617768043,-2.9481140936392176,0.7631581
SPOT_5m_PA_2001.03.01,1.5685092957439348,-3.026610554390655,-3.026610554390655,2.2308848176371265,3.229139487362712,5.3869983207690115,-3.026610554390655,0.10888366153849471,-3.026610554390655,1.3300982722989367,-3.026610554390655,0.6369510917389913,-3.026610554390655,0.5843073582535698,1.4951780226583855,1.6462182800712508,-3.026610554390655,2.568100825211184,0.8445904565172357,-3.026610554390655,-3.026610554390655,1.8860443313453974,-3.026610554390655,-3.026610554390655,-3.026610554390655,-3.026610554390655,-3.026610554390655,1.4842489521261948,-3.026610554390655,2.1937452706876703,4.674589626466791,5.143858023940018,4.750763048267206,3.1718681621016533,1.6738698114017616,0.37458682727150006,1.682919646921679,-3.026610554390655,2.6223636837705513,-3.026610554390655,-3.026610554390655,-3.026610554390655,-0.4616611969291178,-3.026610554390655,-3.026610554390655,-3.026610554390655,3.1450900430202604,-3.026610554390655,-0.4616611969291178,-3.026610554390655,1.2908775591456552,2.894967865253161,1.4042062444526584,3.8074981844231837,2.054793810593808,-3.026610554390655,3.482158582581027,4.988386339957646,2.2963994247477535,-3.026610554390655,0.26922631161367416,-3.026610554390655,4.092215694671422,0.19226527047754605,3.149256715715106,-0.4616611969291178,0.7575790795276065,1.0164407134438953,-3.026610554390655,0.430373
SPOT_5m_PA_2001.04.01,-2.9295126045434055,1.0778205806890657,-2.9295126045434055,2.29084322053492,2.3486020546871114,4.803733041986391,0.7080735551829802,-2.9295126045434055,-2.9295126045434055,-0.5316173317450348,-2.9295126045434055,-2.9295126045434055,-1.137753135315351,-2.9295126045434055,-0.8500710628635693,0.16152984881491061,-2.9295126045434055,3.428329661964694,-0.15692388230362386,-0.5316173317450348,-0.22146240344119494,2.176432869357175,-2.9295126045434055,-0.22146240344119494,-2.9295126045434055,-2.9295126045434055,-2.9295126045434055,1.9532893180429651,-2.9295126045434055,2.8038286723543404,3.4590488010022242,5.618015786668905,4.353935624213226,1.0023130281809207,0.3663242614609237,0.6814053081008193,3.113120229138976,-2.9295126045434055,3.8157237449409567,0.5968479200727561,-2.9295126045434055,-2.9295126045434055,3.679836638623975,-2.9295126045434055,1.1135386632911448,-2.9295126045434055,2.240971390494747,1.9380218459121767,0.5362232982563215,2.7642195342592943,3.5241123943492862,-2.9295126045434055,0.7340490415862408,2.139391597676826,2.145661210690421,-2.9295126045434055,0.7593668495705312,4.130105023747978,2.7940724974089752,-2.9295126045434055,-2.9295126045434055,-2.9295126045434055,2.4776591669167134,-2.9295126045434055,-0.15692388230362386,3.9901712453040057,0.24854122580453986,-2.9295126045434055,-2.9295126045434055,2.0961535
SPOT_5m_PA_2001.05.01,0.16311575321202643,-1.446322159222075,-1.446322159222075,-1.446322159222075,5.192245629944447,6.522343541244161,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,0.4995879898332394,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,1.9876650452630722,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,-1.446322159222075,0.750902418114145,-1.446322159222075,1.772553665646127,4.199124738421164,4.772277960469655,2.9231256932449474,3.8619455381791306,-1.446322159222075,-1.446322159222075,3.7069694352757048,-1.446322159222075,-1.446322159222075,2.743332582804351,-1.446322159222075,-1.446322159222075,2.1912640005043116,-1.446322159222075,0.6331193824577621,-1.446322159222075,-1.446322159222075,1.7317316711258712,3.289876289172421,3.6835765557009994,-1.446322159222075,-1.446322159222075,-1.446322159222075,0.8562629337719718,-1.446322159222075,-1.446322159222075,-1.446322159222075,3.763163993619347,2.4657008462060723,-1.446322159222075,-1.446322159222075,-1.446322159222075,3.1283888192813087,-1.446322159222075,1.5982002785013485,0.34543731000598044,0.8562629337719718,-1.446322159222075,-1.446322159222075,0.35571012
SPOT_5m_PA_2001.06.01,3.512695182053196,0.0020280919830808486,-2.8311852520731344,2.53010691363629,1.5126201697805488,3.9430386342844796,-2.8311852520731344,0.6653223093933454,-2.8311852520731344,-2.8311852520731344,0.4646516139311938,-2.8311852520731344,-2.8311852520731344,1.7739849339149565,-2.8311852520731344,2.0286271522885375,-0.43328997927476465,1.211866015761415,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,-0.5286001590790894,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,3.0036254849894704,-2.8311852520731344,2.051616670513236,3.426482335809504,5.224607198904635,3.260124630004563,4.838776743400443,1.7839352647681244,1.1006403806511909,0.7241628094162786,-2.8311852520731344,-2.8311852520731344,0.30430896385601525,1.9479382410383943,0.9974561444159598,0.3468685782748109,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,-2.8311852520731344,1.4863028614631757,1.1200584665082927,0.42691128594834726,-2.8311852520731344,2.0286271522885375,0.5010192581020689,3.397325751518048,0.3468685782748109,-2.8311852520731344,3.180081922331027,4.146096089557613,3.336331238815206,3.127239440956647,0.05918650582303009,-0.12313505097092481,3.3632201390315375,-2.8311852520731344,3.3151440055957626,-2.8311852520731344,0.5010192581020689,0.5361105779133393,-2.8311852520731344,0.19231021
SPOT_5m_PA_2001.08.01,1.6797470996300685,-2.431126764543243,-2.431126764543243,2.2602211176859015,1.460693533567384,2.174043421444849,-2.431126764543243,1.6632177976788585,-2.431126764543243,-0.23390218720702283,-0.8216888521091423,0.9361690654432318,0.45924499335292257,2.163993085591347,-0.4852166154879294,0.2769234365589677,-2.431126764543243,0.5646055090107485,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,0.40208657951297333,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,2.459222363678511,-2.431126764543243,3.129554866472285,3.8914384753840414,4.853008041651963,1.6960076205018488,4.802328654078196,1.2824453021610651,-1.044832403423352,2.1538407141273295,0.9361690654432318,-2.431126764543243,-2.431126764543243,1.7432605053523949,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,-2.431126764543243,0.34146195769653875,1.6119245032913074,-2.431126764543243,2.637777437676989,0.2769234365589677,3.970790432183943,1.4190208371668156,-2.431126764543243,3.604354667981514,4.0580781667820744,2.9894082347290434,2.5317178657166646,-2.431126764543243,0.6133956731801806,2.948770588997217,-2.431126764543243,2.8158973076172438,-2.431126764543243,-0.033231491744872166,2.3138053638200073,-2.431126764543243,0.31854302
SPOT_5m_PA_2001.09.01,4.5472947188151736,-1.987946552198486,-1.987946552198486,2.887250771002666,2.4779615664560986,4.236611877076875,-1.987946552198486,0.20927802513773397,-1.987946552198486,-1.987946552198486,1.10309590115983,0.20927802513773397,1.3793492777879885,3.105803648608277,-1.987946552198486,1.7256255145058228,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-0.19618708297043064,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,3.0934578127859775,-1.987946552198486,2.0551047156360642,3.852695105174913,5.305751168402952,3.3447722410668836,4.423871715511412,1.9038737459121409,1.1901072781494602,1.10309590115983,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,-1.987946552198486,1.0565758855249374,0.7201036489037245,3.525482193966497,0.845266791857731,-1.987946552198486,2.5867644263048977,4.355933881927846,3.285053006365261,0.5770028052630511,-1.987946552198486,-1.987946552198486,4.078161537905262,-1.987946552198486,3.628824545468086,-1.987946552198486,-1.987946552198486,2.9247083335375668,-1.987946552198486,0.21478927
SPOT_5m_PA_2001.10.01,4.67739023587512,-2.3958794815845907,-2.3958794815845907,3.4874429069036887,3.2944799727394702,5.292575874965354,-2.3958794815845907,1.3417901366987781,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-0.31643793990475455,1.10062807988189,3.1570801033370275,-1.0095851204647,2.6280010392616866,-2.3958794815845907,0.6951629717737253,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,0.8229963432836103,-1.0095851204647,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,2.524101444243535,-2.3958794815845907,2.494469646637164,4.2659752589607205,5.254765069852306,4.056169472852636,5.919442293792978,2.19924036855,0.49449227631157466,2.11498002493226,-2.3958794815845907,0.9363250285906135,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,-2.3958794815845907,1.6114537036478804,0.31217071951761977,3.0721806595505408,-2.3958794815845907,-2.3958794815845907,2.703986946239608,4.007694716350224,3.4062388937924726,-2.3958794815845907,-0.19865490424837073,-2.3958794815845907,4.429580554670716,-2.3958794815845907,4.012649309474908,0.7821743487633555,0.8999573844197393,1.9985696730878484,-2.3958794815845907,0.2371808
SPOT_5m_PA_2001.11.01,2.7705870395982775,-2.0736000468603137,-2.0736000468603137,3.1942581122030145,3.3425003553441064,5.470202820641196,-2.0736000468603137,0.5654572827549451,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-0.9749877581922037,-2.0736000468603137,2.053534338184778,-0.46416213442621324,1.8582255858640124,-2.0736000468603137,-0.28184057763225834,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,2.0852830364993586,-2.0736000468603137,1.2222368191440154,3.8262973067221777,4.707457579075866,3.6661928653189206,5.457416285217603,1.9153839997039608,0.8708389323061265,-2.0736000468603137,-2.0736000468603137,1.061894169068836,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,0.9709223908631097,-2.0736000468603137,-2.0736000468603137,-2.0736000468603137,0.9709223908631097,1.3275973348018422,0.32429522593805693,3.0262663809638846,0.32429522593805693,2.0207445153617867,3.178673381186316,4.6072546319299015,3.5683070240778,-2.0736000468603137,0.0058414948195224525,-2.0736000468603137,4.139006048891205,-2.0736000468603137,3.6661928653189206,-2.0736000468603137,1.687600068833249,0.41130660292768706,-2.0736000468603137,0.256035
