,d__Eukaryota;p__Cercozoa;c__Filosa-Chlorarachnea;o__Chlorarachniophyceae,d__Eukaryota;p__Chlorophyta;c__Chlorodendrophyceae;o__Chlorodendrales,d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales,d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Dolichomastigales,d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales,d__Eukaryota;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales,d__Eukaryota;p__Chlorophyta;c__Pedinophyceae;o__Pedinomonadales,d__Eukaryota;p__Chlorophyta;c__Prasinococcales;o__Prasinococcales_XX,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-7,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Prasino-clade-9,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales-clade-6,d__Eukaryota;p__Chlorophyta;c__Prasinophyceae;o__Pyramimonadales,d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae_XX,d__Eukaryota;p__Cryptophyta;c__Cryptophyceae;o__Pyrenomonadales,d__Eukaryota;p__Dinophyta;c__Dinophyceae;o__Brachidiniales,d__Eukaryota;p__Discoba;c__Euglenozoa;o__Eutreptiales,d__Eukaryota;p__Haptophyta;c__Pavlovophyceae;o__Pavlovales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Coccolithales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Isochrysidales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Phaeocystales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophyceae_XX,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiophycidae_XX,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Syracosphaerales,d__Eukaryota;p__Haptophyta;c__Prymnesiophyceae;o__Zygodiscales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariophyceae_X,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Bacillariophyta_XX,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Chaetocerotales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Corethrales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Coscinodiscales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Coscinodiscophyceae_X,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Cymatosirales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Cymbellales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Rhizosoleniales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Thalassionematales,d__Eukaryota;p__Ochrophyta;c__Bacillariophyta;o__Thalassiosirales,d__Eukaryota;p__Ochrophyta;c__Bolidophyceae;o__Bolidomonadales,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae-Synurophyceae;o__Chromulinales,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae-Synurophyceae;o__Chrysophyceae-Synurophyceae_XX,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Chrysophyceae_XX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Dictyochophyceae_XX,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Florenciellales,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales,d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Rhizochromulinales,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Pelagomonadales,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Pelagophyceae_XX,d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;o__Sarcinochrysidales,d__Eukaryota;p__Ochrophyta;c__Raphidophyceae;o__Chattonellales,d__Eukaryota;p__Rappemonad;c__Rappemonad_X;o__Rappemonad_XXX,d__Eukaryota;p__Stramenopiles_X;c__Stramenopiles_XX;o__Stramenopiles_XXXX,d__Eukaryota;p__Streptophyta;c__Embryophyceae;o__Gymnodiniales,d__Eukaryota;p__Streptophyta;c__Embryophyceae;o__Malpighiales,Chla.m
SPOT_5m_PA_2001.01.01,1.3215349774038891,-4.11218702615035,-4.11218702615035,2.3980713143727987,5.112253470204614,-4.11218702615035,-1.0211445727920347,0.40960155089868966,-0.034649582244631105,0.37644934358178883,1.165927633080166,-0.28354562966125574,2.6377441676382185,-1.2789736820941346,4.317485567736391,-1.62728037636235,-0.9766928102212011,-4.11218702615035,1.5190247556710146,2.4143078334204393,4.045183415036423,5.031158477001553,4.627029088911393,1.7485991973155146,-3.013574737482241,0.7240948808011272,-1.62728037636235,1.2584510019773116,-4.11218702615035,-0.12320297958607629,-4.11218702615035,-4.11218702615035,-4.11218702615035,3.3297197019012734,0.9567171760698807,-4.11218702615035,-1.9149624488141317,1.4787999543605057,1.1710167025876377,-0.9341331958024055,1.864163883147583,0.12191947844690887,1.8488183134729228,3.7464536294704405,2.776385433415012,1.4407725587712665,-4.11218702615035,4.300089995316327,-4.11218702615035,3.225400717388245,-0.2203667280397239,0.37644934358178883,-4.11218702615035,-2.725892665030461,-0.615679464683871,0.61289203
SPOT_5m_PA_2001.02.01,0.21527852303832073,-3.311082001577841,-3.311082001577841,0.426587616705528,4.720953312820984,-1.7016440891437394,-3.311082001577841,1.3428783485796831,1.1197347972654734,-0.6030318004756303,0.450118114115722,0.02112250859736342,-1.008496908583795,-1.5193225323497863,4.194960176940282,-3.311082001577841,-3.311082001577841,-1.7016440891437394,1.1197347972654734,3.686513981404086,3.667131741052858,5.069603945183734,2.7756927253344665,0.9084257035982661,-3.311082001577841,-3.311082001577841,0.6592099119742816,1.5011023537945771,-3.311082001577841,3.108912926569302,-3.311082001577841,-3.311082001577841,-3.311082001577841,3.0060826851694435,0.21527852303832073,0.37779745253609587,0.5175593949112542,2.07798972823866,0.6009410038503056,-0.5384932793380592,0.7664554423278789,1.0456268251117509,-0.6030318004756303,2.5266484455880995,3.188705039078014,0.35247964455180547,-3.311082001577841,4.251599245144044,1.9822228231466523,2.7937112308371446,-3.311082001577841,-0.6030318004756303,-0.7461326441163036,-3.311082001577841,-3.311082001577841,0.7631581
SPOT_5m_PA_2001.03.01,1.1122453587376135,-3.4828744913969754,-3.4828744913969754,1.7746208806308053,5.039903078313162,-3.4828744913969754,-0.34738027546782657,0.8738343352926154,0.18068715473267094,0.12804342124724855,1.1899543430649304,1.0389140856520642,2.111836888204863,0.38832651951091535,2.817911303266268,-3.4828744913969754,-3.4828744913969754,-3.4828744913969754,1.0279850151198744,1.737481333681349,4.218325689460471,5.50532182959808,3.0123910645400325,1.2266557099153585,-3.4828744913969754,2.16609974676423,-3.4828744913969754,-3.4828744913969754,-3.4828744913969754,-0.9179251339354391,-3.4828744913969754,-3.4828744913969754,-3.4828744913969754,2.6888261060139396,-3.4828744913969754,-0.9179251339354391,-3.4828744913969754,1.2878101330686889,2.4387039282468397,0.947942307446338,3.351234247416863,1.5985298735874869,3.0258946455747058,4.532122402951325,1.8401354877414322,-0.18703762539264712,-3.4828744913969754,3.6359517576651017,-0.26399866652877524,2.6929927787087853,-0.9179251339354391,0.3013151425212852,0.560176776437574,-3.4828744913969754,-1.6911150221689208,0.430373
SPOT_5m_PA_2001.04.01,-3.3205503143540946,0.6867828708783765,-3.3205503143540946,1.8998055107242307,4.494656747834994,0.3170358453722919,-3.3205503143540946,-0.9226550415557231,-1.5287908451260384,-3.3205503143540946,-0.22950786099577858,-1.2411087726742585,3.0372919521540056,-0.5479615921143131,3.409273756135381,-3.3205503143540946,-0.6125001132518841,-3.3205503143540946,1.5622516082322768,2.412790962543651,3.068011091191536,5.882261791201297,1.6698822724246423,2.7220825193282874,-3.3205503143540946,3.4246860351302684,0.2058102102620678,-3.3205503143540946,-3.3205503143540946,4.1142975608579055,-3.3205503143540946,0.7225009534804565,-3.3205503143540946,1.8499336806840576,1.5469841361014884,0.14518558844563234,2.373181824448606,3.956006088364616,-3.3205503143540946,0.34301133177555254,1.7483538878661378,1.7546235008797328,0.36832913975984205,3.739067313937289,2.403034787598287,-3.3205503143540946,-3.3205503143540946,2.086621457106025,-3.3205503143540946,-0.5479615921143131,3.599133535493317,-0.14249648400614845,-3.3205503143540946,-3.3205503143540946,-3.3205503143540946,2.0961535
SPOT_5m_PA_2001.05.01,-0.16382567550725025,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,6.429766653773509,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,0.1726465611139627,-1.7732635879413499,-1.7732635879413499,4.596637394886876,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,0.42396098939486926,1.4456122369268503,3.8721833097018874,5.51361282380935,3.5350041094598548,3.3800280065564285,-1.7732635879413499,-1.7732635879413499,2.4163911540850753,-1.7732635879413499,-1.7732635879413499,2.8117038907292216,-1.7732635879413499,0.30617795373848544,-1.7732635879413499,-1.7732635879413499,1.4047902424065954,2.962934860453145,3.356635126981723,1.7820844735480632,-1.7732635879413499,-1.7732635879413499,0.5293215050526952,-1.7732635879413499,-1.7732635879413499,3.4362225649000706,2.1387594174867957,-1.7732635879413499,-1.7732635879413499,2.801447390562033,-1.7732635879413499,1.2712588497820727,0.018495881286704652,0.5293215050526952,-1.7732635879413499,-1.7732635879413499,-1.7732635879413499,0.35571012
SPOT_5m_PA_2001.06.01,2.9912995488255056,-0.519367541244609,-3.3525808853008243,2.0087112804086003,3.504933177244565,-3.3525808853008243,0.14392667616565546,-3.3525808853008243,-0.056744019296496084,1.2525893006872666,1.5072315190608467,-3.3525808853008243,0.8521117340901405,-3.3525808853008243,1.409593049496931,-1.0499957923067793,-3.3525808853008243,-3.3525808853008243,2.48222985176178,1.5302210372855454,2.9050867025818135,5.449340018740757,4.442242266878564,0.20276717618858875,-3.3525808853008243,-3.3525808853008243,-0.21708666937167553,1.4265426078107044,0.47606051118826986,1.6580544087954303,-3.3525808853008243,-3.3525808853008243,-3.3525808853008243,-3.3525808853008243,0.9649072282354849,0.5986628332806019,-0.09448434727934352,0.2583370273433996,1.5072315190608467,-0.02037637512562096,2.8759301182903583,-0.1745270549528799,2.6586862891033367,3.624700456329922,2.814935605587516,2.648833992660325,-0.6445306841986147,2.841824505803847,-3.3525808853008243,2.7937483723680723,-3.3525808853008243,-0.02037637512562096,0.01471494468564849,-3.3525808853008243,-1.4066707362455118,0.19231021
SPOT_5m_PA_2001.08.01,1.139328640113324,-2.9715452240599873,-2.9715452240599873,1.719802658169157,2.0256670497041283,-2.9715452240599873,1.122799338162114,-0.7743206467237673,0.9404777813681591,1.6235746260746033,-0.2634950229577768,-1.0256350750046739,0.024187049494003965,-2.9715452240599873,1.9112566985263841,-0.13833188000377117,-2.9715452240599873,-2.9715452240599873,1.9188039041617673,2.5891364069555407,3.3510200158672974,4.939778794903366,4.364088757867215,1.613422254610585,0.39575060592648725,-2.9715452240599873,-2.9715452240599873,1.2028420458356504,-2.9715452240599873,1.482802072193521,-2.9715452240599873,-2.9715452240599873,-2.9715452240599873,-2.9715452240599873,-2.9715452240599873,-0.19895650182020574,1.071506043774563,-2.9715452240599873,2.097358978160245,-0.2634950229577768,3.4303719726671984,0.878602377650072,3.0639362084647694,3.5176597072653304,2.448989775212299,1.9912994061999205,0.07297721366343612,2.408352129480473,-2.9715452240599873,2.2754788481004993,-2.9715452240599873,-0.5736499512616167,1.7733869043032628,-2.9715452240599873,-0.6689601310659414,0.31854302
SPOT_5m_PA_2001.09.01,4.2528972957349716,-2.2823439752786863,-2.2823439752786863,2.592853347922465,4.099472042127411,-2.2823439752786863,-0.08511939794246715,-2.2823439752786863,1.7780990352677328,2.811406225528076,1.4312280914256217,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,2.021721117925483,-0.49058450605063086,-2.2823439752786863,-2.2823439752786863,2.799060389705777,1.760707292555864,3.558297682094712,5.66991933337836,4.322953945669516,0.8086984780796298,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,2.2285155312381635,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,-2.2823439752786863,0.7621784624447363,0.42570622582352335,3.2310847708862958,0.5508693687775299,2.2923670032246966,4.061536458847645,2.9906555832850605,0.28260538218285003,-2.2823439752786863,3.7837641148250616,-2.2823439752786863,3.334427122387885,-2.2823439752786863,-2.2823439752786863,2.630310910457365,-2.2823439752786863,-2.2823439752786863,0.21478927
SPOT_5m_PA_2001.10.01,4.37928644644853,-2.69398327101118,-2.69398327101118,3.189339117477099,5.121223791177908,-2.69398327101118,1.043686347272188,-2.69398327101118,0.9948961831027567,2.8589763139104374,2.3298972498350965,-1.3076889098912892,0.3970591823471361,-2.69398327101118,3.183752510768459,-1.3076889098912892,-2.69398327101118,-2.69398327101118,2.225997654816945,2.1963658572105738,3.9678714695341313,5.801986283953431,5.6656199998302865,1.8168762355056698,-2.69398327101118,0.6382212391640243,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.0008360904512346,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.69398327101118,-2.69398327101118,1.3133499142212912,0.01406693009103055,2.7740768701239515,-2.69398327101118,2.405883156813019,3.7095909269236347,3.108135104365883,-0.49675869367496084,-2.69398327101118,4.131476765244127,-2.69398327101118,3.7145455200483184,0.48407055933676535,0.6018535949931492,1.7004658836612583,-2.69398327101118,-2.69398327101118,0.2371808
SPOT_5m_PA_2001.11.01,2.5044613995819978,-2.3397256868765934,-2.3397256868765934,2.928132472186735,5.316138330739464,-2.3397256868765934,0.2993316427386654,-2.3397256868765934,-1.2411133982084825,1.7874086981684982,1.5920999458477327,-0.7302877744424929,-0.547966217648538,-2.3397256868765934,2.3787731844185016,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,1.819157396483079,0.9561111791277357,3.5601716667058985,5.495062420511601,5.2465706202761275,-2.3397256868765934,-2.3397256868765934,0.7957685290525562,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,0.70479675084683,-2.3397256868765934,-2.3397256868765934,-2.3397256868765934,0.70479675084683,1.0614716947855625,0.058169585921777234,2.7601407409476053,1.908769555172766,2.912547741170037,4.341128991913622,3.3021813840615204,-0.26028414519675724,-2.3397256868765934,3.8728804088749254,-2.3397256868765934,3.400067225302641,-2.3397256868765934,1.4214744288169694,0.14518096291140736,-2.3397256868765934,-2.3397256868765934,0.256035
